imps,rev,day,country,ad_type,brand,subset
663.2823654,0,10/30/2018,International,HOUSE,brand10,desktop
486.755796,0,11/2/2018,International,HOUSE,brand10,phone
430.47876,0.923026826,11/4/2018,International,PRICE_PRIORITY,brand10,phone
378.0886117,1.264572757,11/3/2018,United States,PRICE_PRIORITY,brand10,desktop
375.0476531,0,10/29/2018,International,HOUSE,brand10,phone
307.6932102,0,11/3/2018,International,HOUSE,brand10,phone
299.9245032,0.689159359,11/3/2018,International,PRICE_PRIORITY,brand10,desktop
291.6804193,0.378805335,11/2/2018,United States,PRICE_PRIORITY,brand10,phone
222.6689472,2.166422945,11/1/2018,United States,PREFERRED_DEAL,brand10,phone
215.0496865,3.894882307,11/2/2018,United States,PREFERRED_DEAL,brand10,desktop
203.8156113,1.205967664,11/1/2018,United States,PREFERRED_DEAL,brand10,desktop
203.0228738,4.558283233,11/2/2018,United States,PREFERRED_DEAL,brand10,phone
154.2908594,3.710560311,10/29/2018,United States,adx,brand10,desktop
140.8519591,53.83925552,10/31/2018,United States,STANDARD,brand10,desktop
132.6318447,0.570174669,10/30/2018,United States,PRICE_PRIORITY,brand10,desktop
130.7197247,0,11/4/2018,International,HOUSE,brand10,desktop
125.2542105,0.264213537,10/31/2018,United States,adx,brand10,phone
124.2050063,3.859094986,10/29/2018,United States,adx,brand10,phone
121.4156694,0.881846805,11/2/2018,United States,PRICE_PRIORITY,brand10,desktop
77.10581601,0,11/4/2018,United States,HOUSE,brand10,phone
72.18301847,1.125187285,10/30/2018,International,SPONSORSHIP,brand10,desktop
71.18499245,0,11/4/2018,International,HOUSE,brand10,phone
71.06714774,2.05867664,10/31/2018,International,SPONSORSHIP,brand10,desktop
70.803301,3.348745521,11/2/2018,International,SPONSORSHIP,brand10,desktop
62.412241,0.786230328,10/30/2018,United States,PREFERRED_DEAL,brand10,desktop
57.23548168,3.271180762,10/31/2018,United States,adx,brand10,desktop
46.41222008,2.863810084,10/29/2018,International,SPONSORSHIP,brand10,desktop
41.46411954,0.641848299,11/3/2018,International,SPONSORSHIP,brand10,desktop
37.77293736,0.140167212,11/2/2018,International,PRICE_PRIORITY,brand10,phone
33.75033303,2.26803647,11/1/2018,International,SPONSORSHIP,brand10,desktop
23.77946082,1.761780971,11/4/2018,International,SPONSORSHIP,brand10,desktop
16.84619865,0,11/4/2018,United States,HOUSE,brand10,desktop
13.19077257,1.036397288,11/3/2018,United States,PREFERRED_DEAL,brand10,desktop
12.80155045,0.493301003,11/1/2018,United States,PRICE_PRIORITY,brand10,desktop
10.29663349,0,11/2/2018,United States,HOUSE,brand10,phone
6.555120195,0,11/3/2018,United States,HOUSE,brand10,phone
6.493048303,0,11/1/2018,United States,HOUSE,brand10,phone
6.461418955,1.024296754,10/30/2018,United States,PREFERRED_DEAL,brand10,phone
6.339125987,0,11/2/2018,International,HOUSE,brand10,desktop
1.871121116,0,11/1/2018,International,SPONSORSHIP,brand10,phone
1.817049211,0.007680117,10/29/2018,United States,PREFERRED_DEAL,brand10,phone
1.680647921,0,10/30/2018,International,SPONSORSHIP,brand10,phone
1.517205506,0,11/2/2018,International,SPONSORSHIP,brand10,phone
1.510522209,0,10/29/2018,United States,HOUSE,brand10,phone
1.17388925,0.042292244,10/31/2018,United States,PREFERRED_DEAL,brand10,desktop
0.983594574,0,11/3/2018,International,SPONSORSHIP,brand10,phone
0.824079908,0,11/2/2018,United States,HOUSE,brand10,desktop
0.414071264,0,11/3/2018,United States,HOUSE,brand10,desktop
0.245494361,0,11/4/2018,International,SPONSORSHIP,brand10,phone
0.089764215,0,10/31/2018,International,SPONSORSHIP,brand10,phone
1491437.417,10764.27352,11/2/2018,United States,SPONSORSHIP,brand1,desktop
644949.5814,103236.2041,10/30/2018,United States,SPONSORSHIP,brand1,desktop
542394.4472,387.7370286,10/31/2018,United States,STANDARD,brand1,phone
539467.1953,9718.27491,11/3/2018,United States,STANDARD,brand1,desktop
518777.0951,7010.413917,11/4/2018,United States,STANDARD,brand1,phone
440331.4947,4722.322927,11/4/2018,United States,STANDARD,brand1,desktop
437083.2225,7554.405227,11/3/2018,United States,STANDARD,brand1,phone
422436.7695,2005.528689,11/1/2018,United States,STANDARD,brand1,phone
395941.9485,1292.398662,11/3/2018,United States,PREFERRED_DEAL,brand1,phone
294172.8267,902.0933474,11/2/2018,United States,adx,brand1,phone
281843.1332,339.6658551,11/4/2018,International,adx,brand1,phone
269721.7764,160.5924217,11/4/2018,United States,PREFERRED_DEAL,brand1,phone
234752.7788,241.6754986,11/3/2018,United States,adx,brand1,phone
229097.2563,92.1074619,11/2/2018,International,adx,brand1,phone
194298.7843,7293.934764,11/1/2018,United States,STANDARD,brand1,desktop
187751.1252,15725.96933,10/29/2018,United States,SPONSORSHIP,brand1,desktop
161247.1906,1077.154138,11/2/2018,United States,PREFERRED_DEAL,brand1,phone
159382.6396,328.8044628,11/4/2018,United States,adx,brand1,phone
153727.6059,268.779554,11/3/2018,International,adx,brand1,phone
139794.4982,12126.98175,11/2/2018,United States,STANDARD,brand1,phone
125534.6485,3355.275031,10/29/2018,United States,STANDARD,brand1,phone
124638.1134,0.0362915,11/1/2018,International,SPONSORSHIP,brand1,desktop
123045.8888,9201.361018,11/2/2018,International,SPONSORSHIP,brand1,desktop
103151.2165,4.715727786,10/29/2018,International,SPONSORSHIP,brand1,desktop
101836.8001,15.96980197,10/30/2018,International,adx,brand1,phone
100655.2382,83.07863262,10/31/2018,International,adx,brand1,phone
98665.01327,17046.93282,10/31/2018,United States,SPONSORSHIP,brand1,desktop
83676.42415,372.012648,11/1/2018,United States,adx,brand1,phone
80576.15738,508.5179354,10/30/2018,United States,STANDARD,brand1,desktop
72804.01881,223.4431031,10/29/2018,United States,PREFERRED_DEAL,brand1,phone
72690.62703,16.75585135,10/29/2018,United States,adx,brand1,phone
52952.73539,499.0222086,10/30/2018,United States,adx,brand1,phone
47685.75324,46.45407967,10/29/2018,International,adx,brand1,phone
47415.46814,0,11/4/2018,International,SPONSORSHIP,brand1,phone
46397.70361,310.7604345,10/29/2018,United States,STANDARD,brand1,desktop
45804.26393,0.272303237,11/3/2018,International,SPONSORSHIP,brand1,desktop
43539.39021,3.220851664,10/30/2018,International,SPONSORSHIP,brand1,phone
38996.83643,0,10/29/2018,International,HOUSE,brand1,phone
37169.55659,283.4224522,10/30/2018,United States,STANDARD,brand1,phone
36735.45099,0,11/3/2018,International,SPONSORSHIP,brand1,phone
33655.49126,192.1944504,11/4/2018,United States,PRICE_PRIORITY,brand1,phone
32960.05173,342.3680627,11/2/2018,International,STANDARD,brand1,phone
29838.8846,79.05882078,11/1/2018,International,adx,brand1,phone
28196.13425,0,10/30/2018,International,HOUSE,brand1,phone
27441.72992,270.4053637,11/4/2018,International,STANDARD,brand1,phone
26666.5491,0.109779871,11/4/2018,International,SPONSORSHIP,brand1,desktop
24685.076,259.4163118,10/31/2018,United States,adx,brand1,phone
24465.46083,330.5798131,11/3/2018,International,STANDARD,brand1,phone
23780.53305,19.76052027,11/4/2018,International,PRICE_PRIORITY,brand1,phone
23035.68705,4.855102851,11/2/2018,United States,STANDARD,brand1,desktop
21933.91534,0.312294698,10/31/2018,International,SPONSORSHIP,brand1,desktop
20161.31653,154.2031781,11/2/2018,International,STANDARD,brand1,desktop
19083.72483,182.5075525,11/3/2018,United States,PRICE_PRIORITY,brand1,phone
17872.50051,168.1456238,11/3/2018,International,STANDARD,brand1,desktop
17157.17921,330.0077832,10/31/2018,United States,STANDARD,brand1,desktop
15245.74532,35.82532189,11/4/2018,International,STANDARD,brand1,desktop
13865.43992,1.414564655,10/31/2018,International,SPONSORSHIP,brand1,phone
13621.25537,0,11/2/2018,International,SPONSORSHIP,brand1,phone
12668.88467,17.33884268,11/3/2018,International,adx,brand1,desktop
11805.80379,0,11/1/2018,International,HOUSE,brand1,phone
11163.69667,10.24031263,11/4/2018,United States,adx,brand1,desktop
10297.6839,0,10/31/2018,United States,HOUSE,brand1,desktop
10122.21713,18.93623456,11/3/2018,International,PRICE_PRIORITY,brand1,phone
9123.113684,2.616778941,11/2/2018,International,adx,brand1,desktop
8930.162396,20.66490838,11/4/2018,United States,PRICE_PRIORITY,brand1,desktop
8389.673823,34.53819032,10/31/2018,United States,PREFERRED_DEAL,brand1,phone
8143.644826,1.283824308,11/2/2018,International,PRICE_PRIORITY,brand1,desktop
8124.713943,54.67295459,11/2/2018,United States,PRICE_PRIORITY,brand1,phone
7770.631478,9.209086628,11/3/2018,International,PRICE_PRIORITY,brand1,desktop
7631.472839,3.712227148,10/30/2018,International,adx,brand1,desktop
7493.957545,1.800078437,10/31/2018,International,adx,brand1,desktop
6877.88043,5.268317444,11/1/2018,International,PRICE_PRIORITY,brand1,desktop
6544.167824,112.9840509,11/1/2018,International,STANDARD,brand1,phone
6167.400442,984.2593254,11/1/2018,United States,PREFERRED_DEAL,brand1,phone
6001.177131,0.30688025,10/29/2018,International,SPONSORSHIP,brand1,phone
5895.999296,0,11/1/2018,International,SPONSORSHIP,brand1,phone
5785.729815,170.5806964,11/1/2018,United States,SPONSORSHIP,brand1,desktop
5378.874274,0,11/4/2018,International,HOUSE,brand1,phone
5344.890093,49.38667468,10/30/2018,International,STANDARD,brand1,phone
5326.258784,12.32852661,11/3/2018,United States,PRICE_PRIORITY,brand1,desktop
5054.443582,2.633209099,10/29/2018,International,PRICE_PRIORITY,brand1,desktop
5022.332469,4.089936909,11/2/2018,International,PRICE_PRIORITY,brand1,phone
4991.363171,416.747465,11/4/2018,United States,SPONSORSHIP,brand1,desktop
4740.631989,0,10/31/2018,International,HOUSE,brand1,phone
4739.737162,0,11/3/2018,International,HOUSE,brand1,phone
4585.240934,0.113928469,10/30/2018,International,SPONSORSHIP,brand1,desktop
4503.409644,0,11/2/2018,International,HOUSE,brand1,phone
4207.652061,39.47570803,11/1/2018,United States,adx,brand1,desktop
4111.507399,5.347824093,10/29/2018,International,adx,brand1,desktop
3958.425585,1.205203323,10/31/2018,International,PRICE_PRIORITY,brand1,desktop
3916.674883,31.26210565,11/1/2018,International,STANDARD,brand1,desktop
3910.326087,1.856692508,11/4/2018,International,adx,brand1,desktop
3859.042064,183.2986369,11/3/2018,United States,SPONSORSHIP,brand1,desktop
3161.100879,5.331790247,11/1/2018,International,adx,brand1,desktop
2623.808836,5.671219843,10/30/2018,International,STANDARD,brand1,desktop
2420.919138,5.083538821,10/31/2018,International,STANDARD,brand1,phone
1932.172778,2.199630063,11/4/2018,United States,PREFERRED_DEAL,brand1,desktop
1888.067429,0,10/29/2018,United States,HOUSE,brand1,desktop
1762.203988,3.855745029,10/31/2018,International,STANDARD,brand1,desktop
1706.295162,41.9916483,10/29/2018,International,STANDARD,brand1,phone
1652.331301,65.32557153,11/3/2018,United States,adx,brand1,desktop
1346.695073,5.47859517,10/30/2018,International,PRICE_PRIORITY,brand1,desktop
1229.311547,8.620900055,11/4/2018,International,PRICE_PRIORITY,brand1,desktop
1200.762229,0,10/29/2018,United States,HOUSE,brand1,phone
903.1598418,55.61650828,10/30/2018,United States,PREFERRED_DEAL,brand1,phone
829.3383966,12.35699524,10/31/2018,United States,adx,brand1,desktop
799.915865,7.809191187,10/29/2018,International,STANDARD,brand1,desktop
798.0757516,3.692436327,11/2/2018,United States,adx,brand1,desktop
773.7808174,329.1164876,11/3/2018,United States,SPONSORSHIP,brand1,phone
686.1532113,342.9283151,11/4/2018,United States,SPONSORSHIP,brand1,phone
647.3158777,16.92184954,10/29/2018,United States,SPONSORSHIP,brand1,phone
521.5377397,24.15471339,11/1/2018,United States,SPONSORSHIP,brand1,phone
515.1764147,49.69967208,11/2/2018,United States,SPONSORSHIP,brand1,phone
509.386881,0,10/30/2018,International,HOUSE,brand1,desktop
485.2843587,0,11/4/2018,International,HOUSE,brand1,desktop
364.5464032,0,11/2/2018,International,HOUSE,brand1,desktop
359.6693948,0,10/31/2018,International,HOUSE,brand1,desktop
350.6643333,1.99015474,10/30/2018,United States,adx,brand1,desktop
347.5395441,157.7204589,10/30/2018,United States,SPONSORSHIP,brand1,phone
320.1705331,0,11/1/2018,International,HOUSE,brand1,desktop
292.1335732,0,10/31/2018,United States,HOUSE,brand1,phone
278.4546248,0.625392993,11/1/2018,United States,PRICE_PRIORITY,brand1,desktop
221.1900375,0,10/29/2018,International,HOUSE,brand1,desktop
215.8335204,0.417774454,11/1/2018,United States,PREFERRED_DEAL,brand1,desktop
194.5414793,2.640011195,11/3/2018,United States,PREFERRED_DEAL,brand1,desktop
189.4675215,0,11/3/2018,International,HOUSE,brand1,desktop
161.1202159,0.929755513,10/29/2018,United States,PRICE_PRIORITY,brand1,desktop
133.6640923,0.442105221,10/30/2018,United States,PRICE_PRIORITY,brand1,desktop
106.8193849,4.57500144,10/29/2018,United States,adx,brand1,desktop
99.37408065,0,10/30/2018,United States,HOUSE,brand1,phone
96.45431736,0.540032523,10/31/2018,United States,PRICE_PRIORITY,brand1,desktop
36.93663168,0.359467086,11/2/2018,United States,PRICE_PRIORITY,brand1,desktop
30.69836804,134.632749,10/31/2018,United States,SPONSORSHIP,brand1,phone
5.598923579,0,10/30/2018,United States,HOUSE,brand1,desktop
2.588794691,0.005671845,10/30/2018,United States,PREFERRED_DEAL,brand1,desktop
2.509465071,0.03537865,10/29/2018,United States,PREFERRED_DEAL,brand1,desktop
1.755615852,0,11/4/2018,United States,HOUSE,brand1,phone
1.749586739,0.045465386,10/31/2018,United States,PREFERRED_DEAL,brand1,desktop
876140.6685,3658.984953,10/30/2018,United States,STANDARD,brand2,desktop
761465.3801,7750.05827,11/1/2018,United States,STANDARD,brand2,phone
675538.8242,17364.06368,10/31/2018,United States,STANDARD,brand2,phone
569777.0345,23.09329515,10/30/2018,United States,STANDARD,brand2,phone
396373.9793,1211.655776,10/29/2018,United States,STANDARD,brand2,desktop
359521.5948,1731.944249,11/2/2018,United States,STANDARD,brand2,phone
271786.0929,4091.968177,11/1/2018,United States,STANDARD,brand2,desktop
261434.4819,1808.884054,11/2/2018,United States,STANDARD,brand2,desktop
224376.1918,3533.597288,10/29/2018,United States,STANDARD,brand2,phone
221204.4144,433.8180314,11/2/2018,United States,adx,brand2,phone
219641.874,2762.487985,11/3/2018,United States,STANDARD,brand2,desktop
204077.4328,66.85930855,10/29/2018,International,adx,brand2,phone
189900.5987,7526.677265,10/31/2018,United States,STANDARD,brand2,desktop
184027.5907,0.069769152,10/30/2018,International,SPONSORSHIP,brand2,desktop
161369.7648,2357.363045,11/3/2018,United States,STANDARD,brand2,phone
156402.2807,289.633078,11/3/2018,United States,adx,brand2,phone
150037.6191,1.503794044,10/29/2018,International,SPONSORSHIP,brand2,desktop
135057.0642,57.11515156,10/31/2018,International,adx,brand2,phone
105979.0033,2.565493694,11/3/2018,International,SPONSORSHIP,brand2,desktop
102225.9468,1063.063973,11/4/2018,United States,STANDARD,brand2,phone
84961.84409,949.7485745,11/4/2018,United States,STANDARD,brand2,desktop
81510.32164,33.21969934,11/2/2018,United States,PRICE_PRIORITY,brand2,desktop
80968.46147,1.998788065,11/2/2018,International,SPONSORSHIP,brand2,desktop
74742.82781,31.63176277,11/1/2018,International,adx,brand2,phone
69297.47838,65.38430827,11/3/2018,International,adx,brand2,phone
66298.79823,167.2151601,11/3/2018,United States,PRICE_PRIORITY,brand2,desktop
61119.29007,3.376075199,11/1/2018,International,SPONSORSHIP,brand2,desktop
51548.49096,0,11/1/2018,United States,HOUSE,brand2,phone
49030.08622,18.62345456,11/2/2018,International,PRICE_PRIORITY,brand2,desktop
48469.73896,6.161101319,11/1/2018,United States,PRICE_PRIORITY,brand2,desktop
45850.33049,0,10/29/2018,International,HOUSE,brand2,phone
44305.66011,3.299611217,10/29/2018,International,adx,brand2,desktop
42056.81418,332.637007,11/2/2018,International,STANDARD,brand2,desktop
40765.58856,281.1495372,10/29/2018,United States,adx,brand2,phone
40573.56515,407.4559002,11/3/2018,International,STANDARD,brand2,desktop
39311.28097,0,11/1/2018,International,HOUSE,brand2,desktop
35554.14836,0,10/30/2018,International,HOUSE,brand2,desktop
33863.73673,6.629392569,11/2/2018,International,adx,brand2,desktop
33451.53822,4.4649475,10/31/2018,International,PRICE_PRIORITY,brand2,desktop
30962.05292,0.224218159,10/31/2018,International,adx,brand2,desktop
29114.91987,161.4208957,11/1/2018,United States,adx,brand2,phone
28552.93912,0,10/29/2018,International,HOUSE,brand2,desktop
28459.6263,0,10/31/2018,International,HOUSE,brand2,phone
27333.0753,152.173122,11/4/2018,United States,adx,brand2,phone
26955.38312,156.7416428,11/4/2018,United States,PRICE_PRIORITY,brand2,desktop
26788.19298,100.0688218,11/2/2018,United States,adx,brand2,desktop
26709.66917,0,11/2/2018,International,HOUSE,brand2,desktop
26387.46575,0,10/29/2018,International,SPONSORSHIP,brand2,phone
22652.72179,183.1287777,10/31/2018,United States,adx,brand2,phone
22442.1238,443.5612696,10/30/2018,International,STANDARD,brand2,desktop
22091.35558,0,11/4/2018,International,HOUSE,brand2,desktop
21127.14165,873.2787852,11/4/2018,International,STANDARD,brand2,desktop
20409.90556,49.24560193,10/30/2018,International,adx,brand2,phone
20197.34347,813.6188953,11/1/2018,International,STANDARD,brand2,desktop
19862.17683,0,10/31/2018,International,SPONSORSHIP,brand2,phone
19412.79042,25.24926546,11/3/2018,International,adx,brand2,desktop
19342.77277,2.379721471,10/31/2018,International,SPONSORSHIP,brand2,desktop
19254.92816,0,10/30/2018,International,HOUSE,brand2,phone
19139.75073,4.789686703,11/4/2018,International,adx,brand2,desktop
18894.02373,0,11/1/2018,International,HOUSE,brand2,phone
18352.81492,283.1621334,10/31/2018,International,STANDARD,brand2,desktop
18137.1541,0.91886327,11/4/2018,International,SPONSORSHIP,brand2,desktop
15951.20634,11.32349256,10/30/2018,United States,adx,brand2,phone
15247.29365,468.5053693,10/29/2018,International,STANDARD,brand2,desktop
15230.39887,3.637388219,11/2/2018,International,adx,brand2,phone
14754.37385,0,11/3/2018,International,HOUSE,brand2,desktop
13547.66869,70.52236317,11/3/2018,United States,adx,brand2,desktop
13060.03234,63.89421656,11/1/2018,United States,adx,brand2,desktop
12835.61176,0,10/31/2018,International,HOUSE,brand2,desktop
12391.71444,69.16231768,11/4/2018,United States,adx,brand2,desktop
11315.98495,0,10/31/2018,United States,HOUSE,brand2,desktop
10538.52626,0,11/1/2018,International,SPONSORSHIP,brand2,phone
9909.712626,0,10/30/2018,International,SPONSORSHIP,brand2,phone
9904.947987,1.924461293,10/30/2018,International,PRICE_PRIORITY,brand2,desktop
9643.140689,0,11/4/2018,United States,HOUSE,brand2,phone
9373.334993,44.44458249,10/30/2018,International,adx,brand2,desktop
9229.672051,1587.261948,10/31/2018,United States,SPONSORSHIP,brand2,desktop
8670.665361,28.96448609,11/3/2018,International,PRICE_PRIORITY,brand2,desktop
7912.135658,57.28768863,10/30/2018,International,STANDARD,brand2,phone
7589.724004,20.38785708,10/30/2018,United States,adx,brand2,desktop
7588.850936,59.06671796,10/29/2018,International,PRICE_PRIORITY,brand2,desktop
7296.16972,255.5436548,11/3/2018,United States,SPONSORSHIP,brand2,desktop
6819.780265,0,11/4/2018,International,SPONSORSHIP,brand2,phone
6697.044323,228.9211259,10/29/2018,United States,SPONSORSHIP,brand2,desktop
6596.748771,28.94212047,11/1/2018,International,adx,brand2,desktop
6462.69706,0,10/31/2018,United States,HOUSE,brand2,phone
6386.412078,93.949383,10/29/2018,International,STANDARD,brand2,phone
6228.912033,305.1267572,10/30/2018,United States,SPONSORSHIP,brand2,desktop
5962.051152,0,11/2/2018,International,SPONSORSHIP,brand2,phone
5209.407645,216.1372286,11/1/2018,United States,SPONSORSHIP,brand2,desktop
4634.974431,42.51729161,10/31/2018,United States,adx,brand2,desktop
4243.800041,26.6482404,11/4/2018,International,PRICE_PRIORITY,brand2,desktop
3574.170322,5.024856316,10/31/2018,United States,PRICE_PRIORITY,brand2,desktop
3473.236323,39.1402772,10/31/2018,International,STANDARD,brand2,phone
2879.970963,27.96474493,11/1/2018,International,STANDARD,brand2,phone
2730.847513,7.863632005,10/29/2018,United States,PRICE_PRIORITY,brand2,desktop
2267.772059,0,11/3/2018,International,SPONSORSHIP,brand2,phone
2165.561964,190.2431574,11/2/2018,United States,SPONSORSHIP,brand2,desktop
2147.933807,37.67799323,11/1/2018,International,PRICE_PRIORITY,brand2,desktop
2084.612654,0,11/3/2018,United States,HOUSE,brand2,phone
1799.127827,24.01916181,10/29/2018,United States,adx,brand2,desktop
1526.112618,0,11/1/2018,United States,HOUSE,brand2,desktop
1523.786571,9.527496405,11/4/2018,International,STANDARD,brand2,phone
1352.690122,3.555295571,10/30/2018,United States,PRICE_PRIORITY,brand2,desktop
1312.35211,2.015511202,11/3/2018,International,STANDARD,brand2,phone
1247.31376,26.09574077,11/2/2018,International,STANDARD,brand2,phone
1203.082457,18.91422877,11/2/2018,United States,PREFERRED_DEAL,brand2,phone
849.50186,29.28613282,11/4/2018,United States,SPONSORSHIP,brand2,desktop
842.5663433,0,10/29/2018,United States,HOUSE,brand2,desktop
792.8384374,11.1306927,11/4/2018,United States,PREFERRED_DEAL,brand2,desktop
749.3503975,7.783387439,11/1/2018,United States,PREFERRED_DEAL,brand2,phone
668.7878822,0,11/2/2018,United States,HOUSE,brand2,desktop
600.6544559,37.69523123,11/4/2018,International,adx,brand2,phone
421.5590134,3.361311423,11/1/2018,United States,PREFERRED_DEAL,brand2,desktop
385.4059442,16.76312921,10/29/2018,United States,SPONSORSHIP,brand2,phone
315.6500034,0,11/4/2018,International,HOUSE,brand2,phone
266.8288342,4.532858275,10/30/2018,United States,SPONSORSHIP,brand2,phone
252.9501675,5.744351971,11/3/2018,United States,SPONSORSHIP,brand2,phone
247.9540431,2.960492253,11/4/2018,United States,SPONSORSHIP,brand2,phone
